rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
214,src/frontend/src/features/rooms/livekit/components/Tools.tsx,0.005023923444976076,483,19,2,0.0,0.00253592561284869,0,NONE,
215,src/backend/.pylintrc,0.0049511129602662785,476,2,2,0.0,0.00253592561284869,0,NONE,
216,src/backend/core/tests/recording/worker/test_services.py,0.00485749947992511,467,5,1,0.0,0.00253592561284869,0,NONE,
217,src/backend/core/tests/test_api_users.py,0.004774287497399625,459,7,2,0.0,0.00253592561284869,0,NONE,
218,README.md,0.00476388599958394,458,17,5,0.0,0.00253592561284869,0,NONE,
219,src/frontend/src/features/subtitle/component/Subtitles.tsx,0.004680674017058456,450,7,2,0.0,0.00253592561284869,0,NONE,
220,src/helm/env.d/dev-dinum/values.meet.yaml.gotmpl,0.004670272519242771,449,18,4,0.0,0.00253592561284869,0,NONE,
221,src/backend/core/tests/test_external_api_token.py,0.0046494695236114,447,6,1,0.0,0.00253592561284869,0,NONE,
222,src/frontend/src/features/rooms/livekit/components/ReactionPortal.tsx,0.004295818597878094,413,12,3,0.0,0.00253592561284869,0,NONE,
223,docs/resource_server.yaml,0.004098190139380071,394,2,1,0.0,0.00253592561284869,0,NONE,
224,src/frontend/src/features/notifications/components/WaitingParticipantNotification.tsx,0.004066985645933014,391,4,1,0.0,0.00253592561284869,0,NONE,
225,src/backend/core/authentication/backends.py,0.0040565841481173285,390,15,3,0.0,0.00253592561284869,0,NONE,
226,src/helm/impress/values.yaml,0.004046182650301644,389,2,2,0.0,0.00253592561284869,0,NONE,
227,src/backend/core/tests/files/test_api_files_create.py,0.004025379654670273,387,3,2,0.0,0.00253592561284869,0,NONE,
228,src/backend/core/tests/test_models_rooms.py,0.0039421676721447885,379,7,1,0.0,0.00253592561284869,0,NONE,
229,src/backend/core/authentication/views.py,0.003931766174329103,378,6,3,0.0,0.00253592561284869,0,NONE,
230,src/frontend/src/layout/Footer.tsx,0.003921364676513418,377,11,2,0.0,0.00253592561284869,0,NONE,
231,src/backend/core/external_api/authentication.py,0.003910963178697733,376,5,1,0.0,0.00253592561284869,0,NONE,
232,src/backend/core/services/lobby_service.py,0.003879758685250676,373,3,1,0.0,0.00253592561284869,0,NONE,
233,src/frontend/src/features/rooms/livekit/components/Transcript.tsx,0.003858955689619305,371,11,1,0.0,0.00253592561284869,0,NONE,
234,src/frontend/src/features/rooms/livekit/components/SidePanel.tsx,0.0037965467027251923,365,25,3,0.0,0.00253592561284869,0,NONE,
235,src/frontend/src/features/rooms/livekit/components/controls/Device/AudioDevicesControl.tsx,0.003765342209278136,362,14,1,0.0,0.00253592561284869,0,NONE,
236,src/backend/core/tests/rooms/test_api_rooms_invite.py,0.0036197212398585395,348,4,1,0.0,0.00253592561284869,0,NONE,
237,src/frontend/src/features/rooms/livekit/components/controls/Device/VideoDeviceControl.tsx,0.0036197212398585395,348,16,2,0.0,0.00253592561284869,0,NONE,
238,src/agents/multi-user-transcriber.py,0.003609319742042854,347,5,2,0.0,0.00253592561284869,0,NONE,
239,.github/workflows/impress-frontend.yml,0.0035573122529644267,342,2,2,0.0,0.00253592561284869,0,NONE,
240,src/backend/core/tests/recording/event/test_parsers.py,0.003484501768254629,335,4,1,0.0,0.00253592561284869,0,NONE,
241,src/frontend/src/features/rooms/livekit/prefabs/ControlBar/DesktopControlBar.tsx,0.003484501768254629,335,16,4,0.0,0.00253592561284869,0,NONE,
242,src/backend/core/tests/test_models_applications.py,0.0034636987726232578,333,2,1,0.0,0.00253592561284869,0,NONE,
243,src/frontend/src/primitives/Spinner.tsx,0.0034428957769918867,331,9,3,0.0,0.00253592561284869,0,NONE,
244,src/frontend/src/locales/de/settings.json,0.0033492822966507177,322,26,6,0.0,0.00253592561284869,0,NONE,
245,src/backend/core/tests/services/test_telephony_service.py,0.0032556688163095484,313,2,1,0.0,0.00253592561284869,0,NONE,
246,src/backend/core/tests/services/test_lobby.py,0.0032452673184938633,312,10,1,0.0,0.00253592561284869,0,NONE,
