file_path,sonar_issue_count,highest_severity,severity_breakdown,type_breakdown
src/frontend/src/api/fetchApi.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/layout/components/PaginationControl.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/layout/components/GridLayout.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/layout/components/ControlBarRegion.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/auth/api/fetchUser.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/auth/api/useUser.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/auth/components/UserAware.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/notifications/components/ToastRegion.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/layout/components/RoomContentArea.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/components/Conference.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/recording/components/RowWrapper.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/notifications/hooks/useSoundNotification.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/components/Permissions.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/hooks/useWaitingParticipants.ts,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/Admin.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/ParticipantName.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/ParticipantPlaceholder.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/auth/utils/silentLogin.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/utils/generateRoomId.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/processors/RnnNoiseProcessor.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/prefabs/ControlBar/ResponsiveMenu.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/hooks/useKonami.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/prefabs/Chat.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/prefabs/ControlBar/ControlBar.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/controls/ScreenShareToggle.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/controls/Options/ScreenRecordingMenuItem.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/stores/accessibility.ts,1,CRITICAL,CRITICAL:1,CODE_SMELL:1
src/frontend/vite.config.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/layout/Header.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/navigation/getRoutePath.ts,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/navigation/getRouteUrl.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/navigation/navigateTo.ts,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/primitives/Checkbox.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/features/settings/components/tabs/AudioTab.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/settings/components/SettingsDialog.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/styles/livekit.css,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/utils/formatDate.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/primitives/FieldErrors.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/primitives/Field.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/primitives/Select.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/frontend/src/primitives/buttonRecipe.ts,1,INFO,INFO:1,CODE_SMELL:1
src/frontend/src/primitives/Div.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/support/hooks/useSupport.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/layout/Layout.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/helm/meet/generate-readme.sh,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/helm/meet/templates/ingress_media.yaml,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/sdk/library/vite.config.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/summary/summary/core/config.py,1,CRITICAL,CRITICAL:1,CODE_SMELL:1
src/summary/summary/core/file_service.py,1,MAJOR,MAJOR:1,CODE_SMELL:1
